patologi sosial  jilid 1,,,,,,,,,,,,,,,,,,,,,,,
pemimpin dan kepemimpinan; apakah kepemimpinan abnormal itu ?,,,,,,,,,,,,,,,,,,,,,,,
75 readings across the curriculum; an anthology,the art of learning to teach: creating professional narratives,,,,,,,,,,,,,,,,,,,,,,
pengantar ilmu antropologi edisi baru,,,,,,,,,,,,,,,,,,,,,,,
komunikasi pembangunan perubahan sosial: perspektif dominan kaji ulang dan teori kritis,,,,,,,,,,,,,,,,,,,,,,,
matematika ekonomi (teori dan aplikasi),modul : praktikum akuntansi berbasis pembelajaran kolaboratif,pengantar akuntansi adaptasi indonesia buku 2,pengantar bisnis: konsep strategi & kasus,schaums easy outlines prinsip-prinsip ekonomi,,,,,,,,,,,,,,,,,,,
hukum administrasi negara,,,,,,,,,,,,,,,,,,,,,,,
budidaya kacang panjang,pedoman bertanam kacang panjang,,,,,,,,,,,,,,,,,,,,,,
the social creation of mental illness.,,,,,,,,,,,,,,,,,,,,,,,
a guide to the mental health act 1983,mengasah pikiran kreatif dan kritis: disertai ilustrasi dan latihan,psikologi faal: tinjauan psikologi dan fisiologi dalam memahami perilaku manusia,rahasia sukses membangun kecerdasan emosi dan spiritual esq (emotiomal spritual quetient),sikap manusia: teori dan pengukurannya edisi ke 2,the founders mentality: how to overcome the predictable crises of growth,,,,,,,,,,,,,,,,,,
dasar-dasar konseling,proses bimbingan dan konseling di sekolah,,,,,,,,,,,,,,,,,,,,,,
fisika modern edisi ketiga,kalor dan termodinamika,modern physics,spoken sundanese : a course in the regional language of west java,,,,,,,,,,,,,,,,,,,,
schaum`s outlines: biologi edisi kedua,,,,,,,,,,,,,,,,,,,,,,,
pengantar ilmu kelautan: edisi 2,pengantar oseanografi,,,,,,,,,,,,,,,,,,,,,,
bimbingan & konseling dalam berbagai latar kehidupan,dasar dasar bimbingan dan konseling,proses bimbingan dan konseling di sekolah,,,,,,,,,,,,,,,,,,,,,
kimia organik,matematika untuk teknik: program dan soal edisi keempat,,,,,,,,,,,,,,,,,,,,,,
kimia dasar: konsep-konsep inti edisi ketiga jilid 1,,,,,,,,,,,,,,,,,,,,,,,
perempuan selalu ingat kumpulan sajak: dian rennuati,teaching with heart; poetry that speaks to the courage to teach,,,,,,,,,,,,,,,,,,,,,,
hukum acara pidana: dalam praktik,hukum agraria & hak-hak atas tanah,hukum agraria indonesia: himpunan peraturan-peraturan hukum tanah,,,,,,,,,,,,,,,,,,,,,
asas - asas linguistik umum,bahasa indonesia untuk perguruan tinggi,,,,,,,,,,,,,,,,,,,,,,
mekanika batuan,operasi migas lepas pantai,,,,,,,,,,,,,,,,,,,,,,
pendidikan kewargaan (civic education): demokrasi  hak asasi manusia & masyarakat madani,,,,,,,,,,,,,,,,,,,,,,,
dampak pencemaran lingkungan edisi revisi,lingkungan hidup dan pencemaran: hubungannya dengan toksikologi senyawa logam,,,,,,,,,,,,,,,,,,,,,,
entomologi pertnian,kunci determinasi serangga: program nasional pelatihan dan pengembangan pengendalian hama terpadu,,,,,,,,,,,,,,,,,,,,,,
pengantar ilmu hukum,,,,,,,,,,,,,,,,,,,,,,,
mendesain model pembelajaran inovatif-progresif: konsep landasan dan implementasinya pada kurikulum tingkat suatu pendidikan,metodologi penelitian tindakan sekolah,metodologi penelitian: memberi bekal teoretis pada mahasiswa tentang metodologi penelitian serta diharapkan dapat melaksanakan penelitian dengan langkah-langkah yang benar,model-model pembelajaran: mengembangkan profesionalisme guru,penelitian deskripsi kelas: konsep teoretis - prosedur analitis - contoh praktis,,,,,,,,,,,,,,,,,,,
konsep negara demokrasi,,,,,,,,,,,,,,,,,,,,,,,
kesehatan reproduksi remaja dan wanita,panduan praktis kedaruratan penyakit dalam diagnosis & terapi,teori semantik edisi kedua,,,,,,,,,,,,,,,,,,,,,
pemimpin dan kepemimpinan; apakah kepemimpinan abnormal itu ?,,,,,,,,,,,,,,,,,,,,,,,
gizi dan kesehatan,,,,,,,,,,,,,,,,,,,,,,,
dasar-dasar fisiologi tumbuhan,dasar-dasar pemuliaan tanaman,gulma & teknik pengendaliannya: edisi revisi,membongkar misteri: microsoft excel 2007: mengupas secara detail fasilitas serta teknik-teknik pengoperasian yang mungkin belum pernah anda terapkan dalam excel 2007,modul word 2010,teknologi benih,,,,,,,,,,,,,,,,,,
pengantar teknologi informasi,,,,,,,,,,,,,,,,,,,,,,,
university physics second edition with suplementary problems,,,,,,,,,,,,,,,,,,,,,,,
kompilasi regulasi keterbukaan informasi publik,,,,,,,,,,,,,,,,,,,,,,,
analisis kimia kuantitatif edisi keenam,buku teks analisis anorganik kualitatif makro dan semi mikro bagian ii,,,,,,,,,,,,,,,,,,,,,,
a history of the devil: a book that will stand as a standard reference work on the devil` colin wilson,,,,,,,,,,,,,,,,,,,,,,,
pengantar akuntansi : adaptasi indonesia buku 1,,,,,,,,,,,,,,,,,,,,,,,
asia tenggara masa hindu-buddha,periodisasi sejarah sriwijaya: bermula di minanga komering ulu sumatera selatan berjaya di palembang berakhir di jambi,,,,,,,,,,,,,,,,,,,,,,
psikologi industri dan organisasi dalam suatu bidang gerak psikologi sumber daya manusia,,,,,,,,,,,,,,,,,,,,,,,
produktivitas: apa dan bagaimana,statistik untuk kedokteran dan kesehatan: deskriptif bivariat dan multivariat: dilengkapi dengan menggunakan spss + cd tutorial interaktif,,,,,,,,,,,,,,,,,,,,,,
belajar cepat microsoft excel 2010,microsoft access 2010 untuk pemula,microsoft excel 2007 untuk pemula,,,,,,,,,,,,,,,,,,,,,
analisis kimia kuantitatif edisi keenam,,,,,,,,,,,,,,,,,,,,,,,
aku bukan muslimah: jebakan- jebakan yang menghancurkan identitas muslimah,,,,,,,,,,,,,,,,,,,,,,,
hubungan keuangan antara pemerintah pusat dan daerah di indonesia,hubungan keuangan antara pemerintah pusat dan daerah di indonesia edisi revisi,,,,,,,,,,,,,,,,,,,,,,
